"광고,에셋이름",url,원본 url / ID
데이지-이미지-말랑말랑,https://www.facebook.com/ads/image/?d=AQLVy9ytVC_wKzsycGtCQXF26TzZMBdE734FxvCU7cEEKMRqYyNGZoFOZezyVqzjhzmZgLEnKSwR6muajh4zvA9XUr5tlfCtA394gX9PdWN0ELOBn-orEqpzH38XmLT06x21TwkB8Ecc_PYVCCPge4nG,-
데이지-이미지-말랑말랑발매트_파랑,https://www.facebook.com/ads/image/?d=AQI0-lncUj4rcUssX3CUNOtyods0s8ol7n35I4hTpvYlXxlfYk-F7hSBOpwJny97T49_xhzT90-vx8fkZboaPtuQijqFJxU5K-1zHKC-yDvVrKsoF0EsiTkBTtVdS4dDd574E5rk8OvIfWeA8Z3rYMSc,-
데이지-이미지-말랑말랑발매트_파랑,https://www.facebook.com/ads/image/?d=AQJwpnQF6NvuesFH5ZbPIIEwLifoDcc64J5A6CVh4IkUIo90zrR6i9fhT7QPrvRSailz-CcNKAaBWrki6Az0DgN-wIVFEJo8CkIq9fd2Fu7RajCKEmfQdQlumWHQ98px7ZneXSYd96iY2g_lK8A-gOqb,-
데이지-이미지-말랑말랑발매트_파랑,https://www.facebook.com/ads/image/?d=AQKyU_FDJAahUS5eyZuhFRIV5pGevIAJTtnOTZuToYU5gHqnOWx8g_2k6FQefHtNed-BdZq5eM3SJgVKDCZBazaF8MzUik1nVrdU70hzZFT9lvwVjar6yK-rfdRTkZoeN_x9G0ekWgWGSy5G-_2KFdE_,-
데이지-이미지-매일뽀송,https://www.facebook.com/ads/image/?d=AQKFfbua7gh8d1wXtBvbjYNBDeLAqFt_Ai0iZSGtI7ejzp1oh0GXxbSlQeS8v_b0a8PMaxVdgWY3kSz3aRYj8cb1eWg8wVtKVxjyeHM1YG8AtzzOmPOB9pjx8OaG9ppkKjA133ze0D3wjAWDt0mwLG2-,-
데이지-이미지-매일뽀송,https://www.facebook.com/ads/image/?d=AQLfbmD6IH9v_keGSUO4edWn9BorPbrCmTW7ZovmDK7BAcZ6jKLiw9yAPSWKtxU9DvQMo_Jv3tmtkodFN8j3h4B-9ckip4bPOJfEfhdKcRxSFkFLBrKUo0G6Pq7hyQTXr3BHrcpUuQkugh4EWcFb1bf2,-
데이지-이미지-젤리처럼,https://www.facebook.com/ads/image/?d=AQLVy9ytVC_wKzsycGtCQXF26TzZMBdE734FxvCU7cEEKMRqYyNGZoFOZezyVqzjhzmZgLEnKSwR6muajh4zvA9XUr5tlfCtA394gX9PdWN0ELOBn-orEqpzH38XmLT06x21TwkB8Ecc_PYVCCPge4nG,-
매니저 이미지-1(래빗),https://www.facebook.com/ads/image/?d=AQLo83cEkdzLOxb68TWNteHdsvpmTG9Vr3e-Gp7GbXXyLKoIjxv_lU7mxORMBrGjv80IYANLLbYUZsZ4vKtB5WNqc458g6sB4PVSKX4vSL9TupRYBOBZIBIvNMpu4-mjCsCf1pZyS5jHENTWP_n4fkCI,-
블랭킷 콘텐츠조회0,https://www.facebook.com/ads/image/?d=AQIIpIk0DWxnIgUXTD_mN-KMfOx-CTvBYyMoNtlgtMoxGh1-_9nQSqj_2rvmALvQQ4VUJHXxUxohgTvApKDAZBlsKl_dLzpwu1smaHMyDR-pGMWMW_vKIamvMbbFIfphEuxaUSk6Hr8ZIFKh1-yRkgoZ,-
블랭킷 콘텐츠조회0,https://www.facebook.com/ads/image/?d=AQIgI1ft-EG3uerCErd3KKGskSgX0U7i8qqmZpgFrYoOg2d8ypbdxKHzk0f6d-Up2nv_C06-jdPGR5JiSgWLqRzrJMmrWl4rUIDaoXU52k4l3ElNMWjNe3ZwIIu9DiIt9wZyr9H1Eo3ZZe6jpDp2hxd4,-
