브랜드명,상품명,추가 구분,유형구분,날짜,목표,캠페인,광고세트,소재이름,비용,노출,클릭,전환수,전환값,타겟팅 구분
구분없음,구분없음,구분없음,메타_트래픽,2025-01-01,LINK_CLICKS,[그로스팀] 트래픽 증가 목적 캠페인,241227_테스트3,241227_감,5803,161,13,0,0,타겟팅
구분없음,구분없음,구분없음,메타_트래픽,2025-01-01,LINK_CLICKS,[그로스팀] 트래픽 증가 목적 캠페인,241227_테스트3,241227_검색기록,2102,240,5,0,0,타겟팅
구분없음,구분없음,구분없음,메타_트래픽,2025-01-01,LINK_CLICKS,[그로스팀] 트래픽 증가 목적 캠페인,241227_테스트3,241227_기프티콘,943,97,3,0,0,타겟팅
구분없음,구분없음,구분없음,메타_트래픽,2025-01-01,LINK_CLICKS,[그로스팀] 트래픽 증가 목적 캠페인,241227_테스트3,241227_달력,603,37,2,0,0,타겟팅
구분없음,구분없음,구분없음,메타_트래픽,2025-01-01,LINK_CLICKS,[그로스팀] 트래픽 증가 목적 캠페인,241227_테스트3,241227_비상구,1189,34,1,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-01,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241202_uiux db수집,241202_uiux_1,11276,172,2,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-01,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241220_문어발전단지,241220_문어발전단지,11095,197,4,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-01,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241227_메뉴판,241227_메뉴판,5858,170,5,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-01,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241227_에어드롭,241227_에어드롭,6022,177,2,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-01,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,[GM]241121_프라이싱_2_신디자인,241121_프라이싱_2_신디자인,12662,197,5,1,671875,타겟팅
구분없음,구분없음,구분없음,메타_트래픽,2025-01-02,LINK_CLICKS,[그로스팀] 트래픽 증가 목적 캠페인,241227_테스트3,241227_감,663,31,0,0,0,타겟팅
구분없음,구분없음,구분없음,메타_트래픽,2025-01-02,LINK_CLICKS,[그로스팀] 트래픽 증가 목적 캠페인,241227_테스트3,241227_검색기록,1242,100,1,0,0,타겟팅
구분없음,구분없음,구분없음,메타_트래픽,2025-01-02,LINK_CLICKS,[그로스팀] 트래픽 증가 목적 캠페인,241227_테스트3,241227_기프티콘,676,58,2,0,0,타겟팅
구분없음,구분없음,구분없음,메타_트래픽,2025-01-02,LINK_CLICKS,[그로스팀] 트래픽 증가 목적 캠페인,241227_테스트3,241227_달력,638,35,2,0,0,타겟팅
구분없음,구분없음,구분없음,메타_트래픽,2025-01-02,LINK_CLICKS,[그로스팀] 트래픽 증가 목적 캠페인,241227_테스트3,241227_비상구,141,13,0,0,0,타겟팅
구분없음,구분없음,구분없음,메타_트래픽,2025-01-02,LINK_CLICKS,[그로스팀] 트래픽 증가 목적 캠페인,250102_테스트4 - 영상,250102_폴더,3385,146,11,0,0,타겟팅
구분없음,구분없음,구분없음,메타_트래픽,2025-01-02,LINK_CLICKS,[그로스팀] 트래픽 증가 목적 캠페인,250102_테스트4 - 영상,250102_폴더_bgm,3286,81,7,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-02,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241202_uiux db수집,241202_uiux_1,9926,185,4,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-02,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241220_문어발전단지,241220_문어발전단지,10090,160,3,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-02,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241227_메뉴판,241227_메뉴판,5568,142,1,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-02,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241227_에어드롭,241227_에어드롭,5085,103,3,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-02,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,[GM]241121_프라이싱_2_신디자인,241121_프라이싱_2_신디자인,9265,102,2,0,0,타겟팅
구분없음,구분없음,구분없음,메타_트래픽,2025-01-03,LINK_CLICKS,[그로스팀] 트래픽 증가 목적 캠페인,250102_테스트4 - 영상,250102_폴더,3219,78,8,0,0,타겟팅
구분없음,구분없음,구분없음,메타_트래픽,2025-01-03,LINK_CLICKS,[그로스팀] 트래픽 증가 목적 캠페인,250102_테스트4 - 영상,250102_폴더_bgm,1408,62,3,0,0,타겟팅
구분없음,구분없음,구분없음,메타_트래픽,2025-01-03,LINK_CLICKS,[그로스팀] 트래픽 증가 목적 캠페인,250103_테스트5,250103_네비게이션,3195,193,8,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-03,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241202_uiux db수집,241202_uiux_1,3984,93,2,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-03,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241220_문어발전단지,241220_문어발전단지,8503,153,2,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-03,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241227_메뉴판,241227_메뉴판,1900,49,0,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-03,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,241227_에어드롭,241227_에어드롭,1726,51,0,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-03,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,250103_검색기록,250103_검색기록,1901,42,0,0,0,타겟팅
구분없음,구분없음,구분없음,메타_구독,2025-01-03,OUTCOME_LEADS,[GM] 그로스메이커 잠재고객 DB 수집 전환 목적 캠페인,250103_기프티콘,250103_기프티콘,1846,54,0,0,0,타겟팅
